_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
275,2019-08-01T00:00:00,128.1,130.5,138.9,84,39.4,16.5,Tax,Taxe
276,2019-08-01T00:00:00,207.2,210.7,221.8,180.5,120.5,91.8,Total,Totale
277,2019-09-01T00:00:00,78.7,77,81,94.3,81,73.9,Base,Base
278,2019-09-01T00:00:00,129.7,128.4,137.1,82.8,39.3,16.8,Tax,Taxe
279,2019-09-01T00:00:00,208.4,205.4,218.1,177.1,120.3,90.8,Total,Totale
280,2019-10-01T00:00:00,79.2,75.7,81.5,97.2,81.3,74.8,Base,Base
281,2019-10-01T00:00:00,131.9,128,137.2,82.3,39.3,16.8,Tax,Taxe
282,2019-10-01T00:00:00,211.1,203.7,218.8,179.6,120.6,91.6,Total,Totale
283,2019-11-01T00:00:00,79.4,75.9,82.6,96.7,78.8,74,Base,Base
284,2019-11-01T00:00:00,134.6,128.6,137.8,82.1,39.3,16.8,Tax,Taxe
285,2019-11-01T00:00:00,214.1,204.4,220.4,178.7,118.1,90.8,Total,Totale
